Booking Date,Inv No,Customer No,Hotel ID ,Hotel Name ,State ,Email ID,GST No ,Voucher No.,Trip ID ,Check In ,Check Out,Commision Amount,CGST ,SGST ,IGST,Total GST,COMMISSION_SENT
20-12-2024,SINV11120014825,VCVEND00672,40797,THE PARK KOLKATA,West Bengal,credits.cal@theparkhotels.com,19AAACB7961L1Z7,CT_241130305743,241130295102,12-01-2024,12-02-2024,539.46,0.00,0.00,97.10,97.10,636.56
20-12-2024,SINV11120014825,VCVEND00672,40797,THE PARK KOLKATA,West Bengal,credits.cal@theparkhotels.com,19AAACB7961L1Z7,CT_24110264266,241102941502,11-02-2024,11-03-2024,453.6,0.00,0.00,81.65,81.65,535.25
20-12-2024,SINV11120014825,VCVEND00672,40797,THE PARK KOLKATA,West Bengal,credits.cal@theparkhotels.com,19AAACB7961L1Z7,CT_241118154663,241118546660,11-27-2024,12-03-2024,6463.8,0.00,0.00,1163.48,1163.48,7627.28
20-12-2024,SINV11120014825,VCVEND00672,40797,THE PARK KOLKATA,West Bengal,credits.cal@theparkhotels.com,19AAACB7961L1Z7,CT_24112984637,24112966794,11-29-2024,11-30-2024,512.49,0.00,0.00,92.25,92.25,604.74
20-12-2024,SINV11120014825,VCVEND00672,40797,THE PARK KOLKATA,West Bengal,credits.cal@theparkhotels.com,19AAACB7961L1Z7,CT_24112394559,241123248640,11-23-2024,11-24-2024,810,0.00,0.00,145.80,145.80,955.80
20-12-2024,SINV11120014825,VCVEND00672,40797,THE PARK KOLKATA,West Bengal,credits.cal@theparkhotels.com,19AAACB7961L1Z7,CT_241129217020,241129116722,12-02-2024,12-06-2024,3078,0.00,0.00,554.04,554.04,3632.04
20-12-2024,SINV11120014825,VCVEND00672,40797,THE PARK KOLKATA,West Bengal,credits.cal@theparkhotels.com,19AAACB7961L1Z7,CT_241118153650,241118546288,11-26-2024,11-30-2024,4924.8,0.00,0.00,886.46,886.46,5811.26
20-12-2024,SINV11120014825,VCVEND00672,40797,THE PARK KOLKATA,West Bengal,credits.cal@theparkhotels.com,19AAACB7961L1Z7,CT_241130150528,241130232056,11-30-2024,12-01-2024,512.49,0.00,0.00,92.25,92.25,604.74
20-12-2024,SINV11120014825,VCVEND00672,40797,THE PARK KOLKATA,West Bengal,credits.cal@theparkhotels.com,19AAACB7961L1Z7,CT_241130298606,241130292734,12-04-2024,12-06-2024,1539,0.00,0.00,277.02,277.02,1816.02
19-12-2024,SINV11120014822,VCVEND23340,42290,OMNICOM MEDIA GROUP INDIA PVT LTD,Bihar,hotel.accounts@cleartrip.com,06AAACR5190H1ZE,CT_241110220452,241110291276,11-14-2024,11-15-2024,1140,0.00,0.00,205.20,205.20,1345.20
19-12-2024,SINV11120014822,VCVEND23340,42290,OMNICOM MEDIA GROUP INDIA PVT LTD,Bihar,hotel.accounts@cleartrip.com,06AAACR5190H1ZE,CT_241127176067,241127826274,11-28-2024,11-29-2024,3306,0.00,0.00,595.08,595.08,3901.08
19-12-2024,SINV11120014822,VCVEND23340,42290,OMNICOM MEDIA GROUP INDIA PVT LTD,Bihar,hotel.accounts@cleartrip.com,06AAACR5190H1ZE,CT_241109153401,241109101360,11-11-2024,11-12-2024,1273,0.00,0.00,229.14,229.14,1502.14
19-12-2024,SINV11120014822,VCVEND23340,42290,OMNICOM MEDIA GROUP INDIA PVT LTD,Bihar,hotel.accounts@cleartrip.com,06AAACR5190H1ZE,CT_241115263948,241115148412,11-18-2024,11-21-2024,4769,0.00,0.00,858.42,858.42,5627.42
19-12-2024,SINV11120014824,VCVEND35564,3943549,Treebo Trip Hotel Palm Emirates,Karnataka,manish.singhal@treebohotels.com,29AAHCR3137R1ZN,CT_241110242238,241110300388,12-22-2024,12-25-2024,22095,0.00,0.00,3977.10,3977.10,26072.10
