Booking Date,Inv No,Customer No,Hotel ID ,Hotel Name ,State ,Email ID,GST No ,Voucher No.,Trip ID ,Check In ,Check Out,Commision Amount,CGST ,SGST ,IGST,Total GST,COMMISSION_SENT
20-12-2024,SINV11120014825,VCVEND00672,40797,THE PARK KOLKATA,West Bengal,credits.cal@theparkhotels.com,19AAACB7961L1Z7,CT_241130305743,2.4113E+11,12-01-2024,12-02-2024,539.46,0,0,97.1,97.1,636.56
20-12-2024,SINV11120014825,VCVEND00672,40797,THE PARK KOLKATA,West Bengal,credits.cal@theparkhotels.com,19AAACB7961L1Z7,CT_24110264266,2.41103E+11,11-02-2024,11-03-2024,453.6,0,0,81.65,81.65,535.25
20-12-2024,SINV11120014825,VCVEND00672,40797,THE PARK KOLKATA,West Bengal,credits.cal@theparkhotels.com,19AAACB7961L1Z7,CT_241118154663,2.41119E+11,11-27-2024,12-03-2024,6463.8,0,0,1163.48,1163.48,7627.28
20-12-2024,SINV11120014825,VCVEND00672,40797,THE PARK KOLKATA,West Bengal,credits.cal@theparkhotels.com,19AAACB7961L1Z7,CT_24112984637,24112966794,11-29-2024,11-30-2024,512.49,0,0,92.25,92.25,604.74
20-12-2024,SINV11120014825,VCVEND00672,40797,THE PARK KOLKATA,West Bengal,credits.cal@theparkhotels.com,19AAACB7961L1Z7,CT_24112394559,2.41123E+11,11-23-2024,11-24-2024,810,0,0,145.8,145.8,955.8
20-12-2024,SINV11120014825,VCVEND00672,40797,THE PARK KOLKATA,West Bengal,credits.cal@theparkhotels.com,19AAACB7961L1Z7,CT_241129217020,2.41129E+11,12-02-2024,12-06-2024,3078,0,0,554.04,554.04,3632.04
20-12-2024,SINV11120014825,VCVEND00672,40797,THE PARK KOLKATA,West Bengal,credits.cal@theparkhotels.com,19AAACB7961L1Z7,CT_241118153650,2.41119E+11,11-26-2024,11-30-2024,4924.8,0,0,886.46,886.46,5811.26
20-12-2024,SINV11120014825,VCVEND00672,40797,THE PARK KOLKATA,West Bengal,credits.cal@theparkhotels.com,19AAACB7961L1Z7,CT_241130150528,2.4113E+11,11-30-2024,12-01-2024,512.49,0,0,92.25,92.25,604.74
20-12-2024,SINV11120014825,VCVEND00672,40797,THE PARK KOLKATA,West Bengal,credits.cal@theparkhotels.com,19AAACB7961L1Z7,CT_241130298606,2.4113E+11,12-04-2024,12-06-2024,1539,0,0,277.02,277.02,1816.02
19-12-2024,SINV11120014822,VCVEND23340,42290,OMNICOM MEDIA GROUP INDIA PVT LTD,Bihar,hotel.accounts@cleartrip.com,06AAACR5190H1ZE,CT_241110220452,2.4111E+11,11-14-2024,11-15-2024,1140,0,0,205.2,205.2,1345.2
19-12-2024,SINV11120014822,VCVEND23340,42290,OMNICOM MEDIA GROUP INDIA PVT LTD,Bihar,hotel.accounts@cleartrip.com,06AAACR5190H1ZE,CT_241127176067,2.41128E+11,11-28-2024,11-29-2024,3306,0,0,595.08,595.08,3901.08
19-12-2024,SINV11120014822,VCVEND23340,42290,OMNICOM MEDIA GROUP INDIA PVT LTD,Bihar,hotel.accounts@cleartrip.com,06AAACR5190H1ZE,CT_241109153401,2.41109E+11,11-11-2024,11-12-2024,1273,0,0,229.14,229.14,1502.14
19-12-2024,SINV11120014822,VCVEND23340,42290,OMNICOM MEDIA GROUP INDIA PVT LTD,Bihar,hotel.accounts@cleartrip.com,06AAACR5190H1ZE,CT_241115263948,2.41115E+11,11-18-2024,11-21-2024,4769,0,0,858.42,858.42,5627.42
19-12-2024,SINV11120014824,VCVEND35564,3943549,Treebo Trip Hotel Palm Emirates,Karnataka,manish.singhal@treebohotels.com,29AAHCR3137R1ZN,CT_241110242238,2.4111E+11,12-22-2024,12-25-2024,22095,0,0,3977.1,3977.1,26072.1
19-12-2024,SINV11120014824,VCVEND35564,3943549,Treebo Trip Hotel Palm Emirates,Karnataka,manish.singhal@treebohotels.com,29AAHCR3137R1ZN,CT_24111845801,2.41118E+11,11-22-2024,11-24-2024,12750,0,0,2295,2295,15045
